# ZTF DR2 lightcurve of ZTF20abmarcv
# --------------- #
# phot_source:    FPbot (2022dec05)
# ra,dec:         311.32101, 7.11329
# year:           2020
# n_detect (sn):  68, 40
# mjd_max_init:   59055.37673  (phot: fclump)
# sn_range:       58955.37673 => 59452.01839
# baseline_range: 58226.50103 => 59906.12446
# -------- #
# baseline_corr (applied):
# field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
# 491    50   ztfg     -149.64       89.45     1.23     216.68     1038.96     127    105       1
# 491    50   ztfr      453.31       32.64     1.00     475.99      627.80     273    163       1
# 491    50   ztfi     1677.96      349.83     1.00    1714.88     1372.40      72     29       1
# 1538    31   ztfg     -154.26      299.86     1.10    -196.53      783.95      15     25       1
# 1538    31   ztfr    -8507.81      795.46     1.43   -8318.44     1068.74       8     37       1
# -------- #
# alt_baseline_corr (pre-explosion: not applied):
# field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
# 491    50   ztfg     -165.16      113.31     1.00    -151.51      706.66      63    105       1
# 491    50   ztfr      432.93       63.14     1.00     314.97      547.74     209    163       1
# 491    50   ztfi     1285.00      359.95     1.00    1169.34      870.16      26     29       1
# 1538    31   ztfg     -154.26      299.86     1.10    -196.53      783.95      15     25       1
# 1538    31   ztfr    -7799.87      725.08     1.48   -8173.39     1007.41       7     37       1
# -------- #
# alt_baseline_corr (post-explosion: not applied):
# field  rcid filter    f_offset  offset_unc  e_scale   f_weight         rms  n_base   n_sn   valid
# 491    50   ztfg      -34.91      202.60     2.05     924.69     1669.60      64    105       1
# 491    50   ztfr      616.29      142.39     3.61    1591.87     2568.33      66    163       1
# 491    50   ztfi     1946.53      350.20     1.53    2432.09     2443.07      48     29       1
# 1538    31   ztfg        0.00        0.00     1.00       0.00        0.00       0     25       0
# 1538    31   ztfr    -9778.32        0.00     1.00   -9778.32        0.00       1     37       0
# --------------- #
mjd filter flux flux_err ZP flag mag mag_err field_id rcid flux_offset offset_unc err_scale in_baseline x_pos y_pos native_ZP native_ZP_err native_ZP_rms zpsys
59396.35745 ztfi -1642.98064 1818.41969 30.0 0 99.0 99.0 491 50 1677.96251 349.83358 1.0 0 2409.5817 1098.55159 25.53456 1e-05 0.02367 ab
59396.45775 ztfg 291.56567 1075.87828 30.0 32 99.0 99.0 1538 31 -154.2551 299.85903 1.10116 0 2578.62839 279.64743 26.18538 1e-05 0.02024 ab
59397.37175 ztfr 184.4023 669.66341 30.0 0 99.0 99.0 491 50 453.30894 32.63707 1.0 0 2390.06448 1085.24375 26.24686 1e-05 0.0186 ab
59397.42053 ztfg -912.30947 1242.15897 30.0 0 99.0 99.0 491 50 -149.63816 89.45416 1.23018 0 2414.94749 1105.0132 26.27276 1e-05 0.02361 ab
59399.35686 ztfi 3053.35135 1901.5863 30.0 0 99.0 99.0 491 50 1677.96251 349.83358 1.0 0 2417.85006 1103.95951 25.5262 1e-05 0.02545 ab
59399.43258 ztfg -204.78199 773.38004 30.0 32 99.0 99.0 1538 31 -154.2551 299.85903 1.10116 0 2598.98066 285.75078 26.21673 1e-05 0.01965 ab
59400.37817 ztfg -1533.83444 785.14596 30.0 0 99.0 99.0 491 50 -149.63816 89.45416 1.23018 0 2403.15687 1103.68361 26.29598 1e-05 0.02989 ab
59400.42078 ztfr -1274.90784 579.78883 30.0 0 99.0 99.0 491 50 453.30894 32.63707 1.0 0 2407.17355 1110.86728 26.26432 1e-05 0.01881 ab
59402.33765 ztfg -425.0896 844.39644 30.0 0 99.0 99.0 491 50 -149.63816 89.45416 1.23018 0 2410.59407 1086.67955 26.30616 1e-05 0.02995 ab
59402.35829 ztfi 2375.41795 1979.89278 30.0 0 99.0 99.0 491 50 1677.96251 349.83358 1.0 0 2421.64124 1101.13451 25.56397 1e-05 0.02999 ab
59402.41135 ztfr -1145.65556 877.42877 30.0 0 99.0 99.0 491 50 453.30894 32.63707 1.0 0 2439.40076 1090.375 26.26496 1e-05 0.02063 ab
59403.39329 ztfg -689.58765 821.66115 30.0 32 99.0 99.0 1538 31 -154.2551 299.85903 1.10116 0 2574.54726 278.22776 26.16454 1e-05 0.01654 ab
59404.37853 ztfg -826.44363 1252.24741 30.0 0 99.0 99.0 491 50 -149.63816 89.45416 1.23018 0 2409.33595 1089.10012 26.17228 1e-05 0.03112 ab
59404.396 ztfg 566.19978 860.7742 30.0 32 99.0 99.0 1538 31 -154.2551 299.85903 1.10116 0 2578.91364 273.66684 26.09165 1e-05 0.0177 ab
59404.43358 ztfr -580.3314 949.81392 30.0 0 99.0 99.0 491 50 453.30894 32.63707 1.0 0 2394.20982 1087.6418 26.09657 1e-05 0.01713 ab
59405.39882 ztfi -223.11395 1347.44564 30.0 0 99.0 99.0 491 50 1677.96251 349.83358 1.0 0 2414.91803 1078.45989 25.50016 1e-05 0.02501 ab
59406.34008 ztfr 391.15071 1181.52817 30.0 12 99.0 99.0 491 50 453.30894 32.63707 1.0 0 2394.89576 1087.37533 25.73203 0.00046 0.28652 ab
59406.38964 ztfg -349.71972 909.23962 30.0 0 99.0 99.0 491 50 -149.63816 89.45416 1.23018 0 2433.27202 1088.57214 26.1332 1e-05 0.03044 ab
59406.39214 ztfg -1622.28224 973.03581 30.0 32 99.0 99.0 1538 31 -154.2551 299.85903 1.10116 0 2588.80607 276.19216 26.06839 1e-05 0.01867 ab
59408.32959 ztfr 6.68892 711.60248 30.0 0 99.0 99.0 491 50 453.30894 32.63707 1.0 0 2411.64224 1075.42316 26.03963 1e-05 0.02019 ab
59408.39859 ztfi 1561.29244 1386.2008 30.0 0 99.0 99.0 491 50 1677.96251 349.83358 1.0 0 2413.64955 1094.69802 25.35908 1e-05 0.03488 ab
59409.41271 ztfg -178.36121 909.99618 30.0 32 99.0 99.0 1538 31 -154.2551 299.85903 1.10116 0 2585.06971 282.88068 26.05658 1e-05 0.01932 ab
59410.39873 ztfr -286.75918 681.93986 30.0 0 99.0 99.0 491 50 453.30894 32.63707 1.0 0 2410.04756 1095.0073 26.12351 1e-05 0.0196 ab
59411.27363 ztfi 219.19825 1733.44197 30.0 0 99.0 99.0 491 50 1677.96251 349.83358 1.0 0 2422.65475 1096.60654 25.39629 1e-05 0.02317 ab
59412.33795 ztfg -803.08559 895.8756 30.0 0 99.0 99.0 491 50 -149.63816 89.45416 1.23018 0 2407.34743 1100.14894 25.95483 1e-05 0.02782 ab
59412.37837 ztfr -583.17704 588.88839 30.0 0 99.0 99.0 491 50 453.30894 32.63707 1.0 0 2387.84632 1111.16844 26.18632 1e-05 0.02012 ab
59415.23103 ztfi -633.10512 1848.36205 30.0 256 99.0 99.0 491 50 1677.96251 349.83358 1.0 0 2383.20223 1082.6415 25.52422 1e-05 0.02424 ab
59415.35978 ztfr 427.18845 979.81146 30.0 256 99.0 99.0 491 50 453.30894 32.63707 1.0 0 2426.33424 1113.5417 26.2137 1e-05 0.01742 ab
59415.42287 ztfg -1305.41253 878.22007 30.0 256 99.0 99.0 491 50 -149.63816 89.45416 1.23018 0 2396.6619 1110.70899 26.22776 1e-05 0.02564 ab
59418.29326 ztfi -8910.73982 5215.58695 30.0 264 99.0 99.0 491 50 1677.96251 349.83358 1.0 0 2376.6283 1087.11629 25.18332 1e-05 0.03882 ab
59418.33936 ztfg -519.19437 4417.82362 30.0 260 99.0 99.0 491 50 -149.63816 89.45416 1.23018 0 2413.71308 1077.7548 26.0729 2e-05 0.04163 ab
59418.37171 ztfr 4972.05293 2775.08668 30.0 260 99.0 99.0 491 50 453.30894 32.63707 1.0 0 2401.48857 1071.50031 26.07265 1e-05 0.03084 ab
59422.28587 ztfg 141.02614 2066.25486 30.0 0 99.0 99.0 491 50 -149.63816 89.45416 1.23018 0 2428.69336 1124.60784 26.2695 1e-05 0.02725 ab
59422.33657 ztfi -1247.36607 1627.06313 30.0 0 99.0 99.0 491 50 1677.96251 349.83358 1.0 0 2390.28822 1112.47206 25.56175 1e-05 0.02085 ab
